files,winner,T1_winners,T2_winners,T3_winners,T4_winners,T5_winners,T6_winners,T7_winners,T8_winners,T9_winners,T10_winners,T11_winners,T12_winners
argyll22/ward3.csv,H,H,H,H,H,H,H,H,NA,NA,NA,NA,NA
argyll22/ward4.csv,H,H,H,H,H,H,H,H,H,H,NA,NA,NA
argyll22/ward5.csv,G,G,G,G,G,G,G,NA,NA,NA,NA,NA,NA
argyll22/ward6.csv,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA
argyll22/ward7.csv,B,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA
argyll22/ward8.csv,D,B,D,D,D,D,D,D,NA,NA,NA,NA,NA
argyll22/ward9.csv,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA
clackmannanshire12-ballots/clacks12-01.blt,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA
clackmannanshire12-ballots/clacks12-02.blt,B,B,B,B,B,B,B,NA,NA,NA,NA,NA,NA
clackmannanshire12-ballots/clacks12-03.blt,D,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA
clackmannanshire12-ballots/clacks12-04.blt,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA
clackmannanshire12-ballots/clacks12-05.blt,B,A,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clackmannanshire17-ballots/clacks17-001.blt,D,C,D,D,D,D,D,NA,NA,NA,NA,NA,NA
clackmannanshire17-ballots/clacks17-002.blt,D,B,D,D,D,D,D,NA,NA,NA,NA,NA,NA
clackmannanshire17-ballots/clacks17-003.blt,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA
clackmannanshire17-ballots/clacks17-004.blt,E,E,E,E,E,E,NA,NA,NA,NA,NA,NA,NA
clackmannanshire17-ballots/clacks17-005.blt,D,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA
clackmannanshire22/ward1.txt,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA
clackmannanshire22/ward2.txt,B,B,B,B,B,B,B,NA,NA,NA,NA,NA,NA
clackmannanshire22/ward3.txt,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA
clackmannanshire22/ward4.txt,B,A,B,B,B,B,NA,NA,NA,NA,NA,NA,NA
clackmannanshire22/ward5.txt,B,D,B,B,B,B,NA,NA,NA,NA,NA,NA,NA
dumgal12-ballots/dumgal12-01.blt,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dumgal12-ballots/dumgal12-02.blt,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dumgal12-ballots/dumgal12-03.blt,B,A,A,B,B,NA,NA,NA,NA,NA,NA,NA,NA
dumgal12-ballots/dumgal12-04.blt,H,H,H,H,H,H,H,NA,NA,NA,NA,NA,NA
dumgal12-ballots/dumgal12-05.blt,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA
dumgal12-ballots/dumgal12-06.blt,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA
dumgal12-ballots/dumgal12-07.blt,C,D,D,C,NA,NA,NA,NA,NA,NA,NA,NA,NA
dumgal12-ballots/dumgal12-08.blt,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA
dumgal12-ballots/dumgal12-09.blt,D,B,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA
dumgal12-ballots/dumgal12-10.blt,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA
dumgal12-ballots/dumgal12-11.blt,C,A,C,C,C,C,NA,NA,NA,NA,NA,NA,NA
dumgal12-ballots/dumgal12-12.blt,E,B,B,E,E,E,NA,NA,NA,NA,NA,NA,NA
dumgal12-ballots/dumgal12-13.blt,F,C,C,F,F,F,F,F,NA,NA,NA,NA,NA
dumgal17-ballots/dumgal17-01.blt,F,F,F,F,F,F,F,NA,NA,NA,NA,NA,NA
dumgal17-ballots/dumgal17-02.blt,D,D,D,D,D,D,D,D,NA,NA,NA,NA,NA
dumgal17-ballots/dumgal17-03.blt,B,B,B,B,B,B,B,B,NA,NA,NA,NA,NA
dumgal17-ballots/dumgal17-04.blt,A,B,B,B,A,NA,NA,NA,NA,NA,NA,NA,NA
dumgal17-ballots/dumgal17-05.blt,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA
dumgal17-ballots/dumgal17-06.blt,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA
dumgal17-ballots/dumgal17-07.blt,A,B,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA
dumgal17-ballots/dumgal17-08.blt,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA
